"","State1","State2","Avg_Accident_Rating_State1","Percent_Diff_In_Accident_Rating_in_NJ","Prob_of_Severe_Crash_State1","Percent_More_Likely_For_Severe_NJ"
"1","AL","NJ","2.13065390538839","0.0514488847212424","0.0864387205548618","0.94720387151437"
"2","AZ","NJ","2.0758088709333","0.0792292604185372","0.115221310626314","0.414763715836533"
"3","CA","NJ","2.04077054674659","0.0977587245754006","0.0364012644602249","3.87710181187182"
"4","CO","NJ","2.6338442715045","-0.149428196349703","0.500001274215141","-0.81576172586303"
"5","DE","NJ","2.45686764128188","-0.0881585825361294","0.262397865840259","-0.482102354760101"
"6","FL","NJ","2.0698428122097","0.0823400015366096","0.0531167197490139","2.28433365891988"
"7","GA","NJ","2.51391494757277","-0.108850649577222","0.3413177637167","-0.644451271376916"
"8","IL","NJ","2.54233615431952","-0.11881295919846","0.484923994845799","-0.804305006714084"
"9","IN","NJ","2.45958458419669","-0.0891658343682175","0.297843010783227","-0.565660947090039"
"10","LA","NJ","2.04677233012339","0.0945397490362423","0.0446747692417225","2.93977119142809"
"11","MI","NJ","2.33601314214116","-0.0409841314102465","0.210309872334339","-0.308202291413092"
"12","MN","NJ","2.0463229026858","0.0947801393451748","0.0406462033995841","3.34851410119716"
"13","MT","NJ","2.04249757480105","0.0968305177869297","0.0256896918882339","5.98747829817866"
"14","NC","NJ","2.12141008032768","0.0560304645113903","0.0873463776564195","0.925055048583267"
"15","OH","NJ","2.49312394349052","-0.101419053634746","0.301229148741247","-0.572614428702139"
"16","OR","NJ","2.07704235478198","0.0785883433670949","0.0535062974468396","2.25907908705206"
"17","PA","NJ","2.19641357330793","0.0199689620263999","0.112133902402897","0.458789426941845"
"18","SC","NJ","2.05001227574692","0.0928098817024632","0.0316107213594358","4.64413816174135"
"19","TN","NJ","2.08456104378447","0.0746980421741068","0.0701386478642947","1.44254671421477"
"20","UT","NJ","2.08173646007175","0.0761562356795009","0.0577350030014622","2.006878888463"
"21","VA","NJ","2.17562454790313","0.0297152027939562","0.114066783016389","0.430948033313344"
"22","WA","NJ","2.31010687372554","-0.0302294244358197","0.226419822895962","-0.370533015460359"
"23","WI","NJ","2.80439460539013","-0.201156046926596","0.47401845196756","-0.795564020445968"
"24","WY","NJ","2.77704590829356","-0.193288931285912","0.414139098841027","-0.739366430838646"
"25","USA","NJ","2.13720941675981","-0.0460013657362768","0.111812771345169","0.606886573024141"
"26","NJ","NJ","2.24026465028355",NA,"0.184239982090889",NA
